ds,yhat,yhat_lower,yhat_upper
2011-11-05,52003.958822888155,36876.60966011919,66479.02961133393
2011-11-06,27188.503317697654,13174.980009056111,42406.104479719426
2011-11-07,39525.657007659735,24048.284017240563,54512.18962156296
2011-11-08,44301.32493010561,29218.945677770815,59409.69657570535
2011-11-09,40166.54016544649,25041.97958341131,55101.52412711595
2011-11-10,48962.28342664531,35714.093513701875,62682.79001792031
2011-11-11,38783.828257999296,24187.67550695034,54022.20889411271
2011-11-12,52836.66539921691,38029.228257342504,68087.28863581734
2011-11-13,28021.209894059597,13915.8729716499,44127.00023383264
2011-11-14,40358.36358395972,26444.232034902267,56493.17076208223
2011-11-15,45134.03150642995,29359.798418818908,60304.62659246859
2011-11-16,40999.24674173705,24873.85751902888,55605.56084998623
2011-11-17,49794.99000292337,35204.72662102622,64393.446665414995
2011-11-18,39616.53483431228,25309.48644676729,54784.79240620423
2011-11-19,53669.37197551358,38640.10973906422,68462.598809285
2011-11-20,28853.91647033169,14594.748235142368,43672.87129678299
2011-11-21,41191.070160259704,26540.236938314825,55785.172356757714
2011-11-22,45966.73808275428,29059.625797052682,62051.901894933384
2011-11-23,41831.953318092565,26487.031823916073,56674.729070270936
2011-11-24,50627.69657927476,35104.16318698325,65310.45363738012
2011-11-25,40449.241410603776,24936.42859453265,55934.30980571503
2011-11-26,54502.078551810264,38846.737822574345,69471.99433195972
2011-11-27,29686.62304664238,14932.16797512364,44249.0004693734
2011-11-28,42023.77673652524,27336.206167233635,57274.99731862873
2011-11-29,46799.44465900617,31888.28487989527,61137.176779125395
2011-11-30,42664.659894383134,27977.216464586818,57265.37944834125
2011-12-01,51460.40315555281,36051.7712259685,66753.50775028812
2011-12-02,41281.94798692397,26936.404669833584,57958.05954379542
2011-12-03,55334.78512810694,40116.25311085052,69229.00602641172
2011-12-04,30519.329622927104,15318.46147208351,45750.68077735277
2011-12-05,42856.48331282522,26937.601476630814,58203.15217673355
2011-12-06,47632.151235393,32874.86895354592,62560.64206641029
2011-12-07,43497.36647067372,27937.920508266812,58833.92575482315
2011-12-08,52293.10973190419,37173.19557275613,67288.75998865727
2011-12-09,42114.65456323698,27228.310431759688,57192.754896543
2011-12-10,56167.49170443569,40328.293975708766,71300.9050720243
2011-12-11,31352.036199237802,16773.711460007224,45580.097120810286
2011-12-12,43689.18988918131,29460.5147417262,59499.74600793677
2011-12-13,48464.85781165484,33902.60881381282,64042.39384628325
2011-12-14,44330.07304696429,29242.186320731747,59275.42806049915
2011-12-15,53125.81630817692,37602.73392004338,69545.45758499549
2011-12-16,42947.36113954283,28660.00453487713,57367.51490963997
2011-12-17,57000.19828071889,41270.270628034225,73007.01383965302
2011-12-18,32184.742775548504,18303.614422106355,48232.24767331393
2011-12-19,44521.89646542518,30282.997899014044,60481.72870893954
2011-12-20,49297.56438790674,34363.98847946617,64528.954120779206
2011-12-21,45162.779623319795,30986.423509990946,61124.821751708376
2011-12-22,53958.52288449431,39599.83372059303,69065.51225744211
2011-12-23,43780.06771586302,29306.305397726523,57415.43255165749
2011-12-24,57832.90485702903,42239.4229014978,72129.08288163716
2011-12-25,33017.44935192307,17821.464599448424,48771.96745748635
2011-12-26,45354.60304176405,29612.22798423219,60403.3770306038
2011-12-27,50130.27096423108,34972.44230076299,64357.854016963305
2011-12-28,45995.486199553874,29889.88370286773,60664.390997072696
2011-12-29,54791.22946081169,39376.54738776075,69204.54173579522
2011-12-30,44612.774292154514,29394.086859465082,59655.18575619271
2011-12-31,58665.61143335778,43683.52905998799,74293.21713054007
2012-01-01,33850.15592819517,20394.217039955216,47872.74434710936
2012-01-02,46187.30961806401,31411.26008638386,61114.46041965605
2012-01-03,50962.977540492924,36201.906307198595,66528.96924942639
2012-01-04,46828.192775900934,32586.78383392793,63491.30223995391
2012-01-05,55623.93603712375,40627.395968112505,70492.88274733028
2012-01-06,45445.48086846752,30874.511492057594,59836.610624540415
2012-01-07,59498.31800965445,44746.832676044345,74631.61507061802
2012-01-08,34682.862504505865,19782.340547900636,49701.45933918303
2012-01-09,47020.01619436401,32189.475107653776,60650.12466212078
2012-01-10,51795.68411687975,36313.01714485255,65827.04766071905
